activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Still,House,0,False,1526316831,-1.0,31530,8,not locked,8,Monday,1073,180,600,25235,2018-05-14 17:53:51+00:00,awake
Still,House,0,False,1526316861,-1.0,31530,8,not locked,2338,Monday,1074,180,600,25235,2018-05-14 17:54:21+00:00,awake
Still,House,0,False,1526317042,-1.0,13562,0,locked,0,Monday,1077,180,600,25235,2018-05-14 17:57:22+00:00,awake
Exercise,House,0,False,1526317102,-1.0,19456,0,locked,0,Monday,1078,180,600,25235,2018-05-14 17:58:22+00:00,awake
Exercise,House,0,False,1526317253,-1.0,32767,0,locked,0,Monday,1080,180,600,25235,2018-05-14 18:00:53+00:00,awake
In vehicle,House,0,False,1526317284,-1.0,32767,0,locked,0,Monday,1081,180,600,25235,2018-05-14 18:01:24+00:00,awake
Exercise,House,0,False,1526317344,-1.0,32767,0,locked,1,Monday,1082,180,600,25235,2018-05-14 18:02:24+00:00,awake
Exercise,House,0,False,1526317373,-1.0,30999,0,not locked,6,Monday,1082,180,600,25235,2018-05-14 18:02:53+00:00,awake
Exercise,University,0,False,1526317434,-1.0,31156,0,locked,2,Monday,1083,180,600,25235,2018-05-14 18:03:54+00:00,awake
Unknown,University,0,False,1526317464,-1.0,31156,8,not locked,4320,Monday,1084,180,600,25235,2018-05-14 18:04:24+00:00,awake
Unknown,University,0,False,1526317494,-1.0,32767,0,locked,0,Monday,1084,180,600,25235,2018-05-14 18:04:54+00:00,awake
Still,University,0,False,1526317524,-1.0,32767,0,locked,0,Monday,1085,180,600,25235,2018-05-14 18:05:24+00:00,awake
Still,University,0,False,1526317554,-1.0,29067,0,locked,0,Monday,1085,180,600,25235,2018-05-14 18:05:54+00:00,awake
Still,House,0,False,1526317945,-1.0,29193,0,locked,0,Monday,1092,180,600,25235,2018-05-14 18:12:25+00:00,awake
Still,House,0,False,1526318186,-1.0,32595,0,locked,0,Monday,1096,180,600,25235,2018-05-14 18:16:26+00:00,awake
Still,House,0,False,1526318216,-1.0,32767,0,locked,0,Monday,1096,180,600,25235,2018-05-14 18:16:56+00:00,awake
In vehicle,House,0,False,1526318276,-1.0,32767,0,locked,0,Monday,1097,180,600,25235,2018-05-14 18:17:56+00:00,awake
Still,House,0,False,1526318367,-1.0,31327,0,locked,0,Monday,1099,180,600,25235,2018-05-14 18:19:27+00:00,awake
Still,House,0,False,1526318397,-1.0,32767,8,locked,289,Monday,1099,180,600,25235,2018-05-14 18:19:57+00:00,awake
Still,House,0,False,1526318637,-1.0,30780,8,locked,150,Monday,1103,180,600,25235,2018-05-14 18:23:57+00:00,awake
Still,House,0,False,1526318728,-1.0,17547,8,locked,160,Monday,1105,180,600,25235,2018-05-14 18:25:28+00:00,awake
Still,House,0,False,1526318758,-1.0,5318,8,locked,160,Monday,1105,180,600,25235,2018-05-14 18:25:58+00:00,awake
Still,House,0,False,1526318788,-1.0,5318,8,locked,158,Monday,1106,180,600,25235,2018-05-14 18:26:28+00:00,awake
Still,House,0,False,1526318818,-1.0,12669,8,locked,159,Monday,1106,180,600,25235,2018-05-14 18:26:58+00:00,awake
Still,House,0,False,1526318848,-1.0,12669,8,locked,158,Monday,1107,180,600,25235,2018-05-14 18:27:28+00:00,awake
Still,House,0,False,1526319102,-1.0,32767,8,locked,149,Monday,1111,180,600,25235,2018-05-14 18:31:42+00:00,awake
Still,House,0,False,1526319156,-1.0,32767,0,locked,1,Monday,1112,180,600,25235,2018-05-14 18:32:36+00:00,awake
Still,House,0,False,1526319553,-1.0,21688,0,locked,0,Monday,1119,180,600,25235,2018-05-14 18:39:13+00:00,awake
Still,House,0,False,1526319622,-1.0,13767,0,locked,0,Monday,1120,180,600,25235,2018-05-14 18:40:22+00:00,awake
Still,House,0,False,1526319708,-1.0,17797,0,locked,0,Monday,1121,180,600,25235,2018-05-14 18:41:48+00:00,awake
Still,House,0,False,1526319853,-1.0,25379,0,locked,0,Monday,1124,180,600,25235,2018-05-14 18:44:13+00:00,awake
Still,House,0,False,1526320101,-1.0,17792,0,locked,0,Monday,1128,180,600,25235,2018-05-14 18:48:21+00:00,awake
Still,House,0,False,1526320163,-1.0,14218,0,locked,0,Monday,1129,180,600,25235,2018-05-14 18:49:23+00:00,awake
Still,House,0,False,1526320382,-1.0,31736,0,locked,0,Monday,1133,180,600,25235,2018-05-14 18:53:02+00:00,awake
Still,House,0,False,1526320569,-1.0,20629,0,locked,0,Monday,1136,180,600,25235,2018-05-14 18:56:09+00:00,awake
Still,House,0,False,1526320637,-1.0,22634,0,locked,0,Monday,1137,180,600,25235,2018-05-14 18:57:17+00:00,awake
Still,House,0,False,1526320717,-1.0,7544,0,locked,0,Monday,1138,180,600,25235,2018-05-14 18:58:37+00:00,awake
Still,House,0,False,1526320777,-1.0,30794,0,locked,42,Monday,1139,180,600,25235,2018-05-14 18:59:37+00:00,awake
Still,House,0,False,1526320837,-1.0,29856,0,locked,1,Monday,1140,180,600,25235,2018-05-14 19:00:37+00:00,awake
Still,House,0,False,1526320867,-1.0,32767,0,locked,0,Monday,1141,180,600,25235,2018-05-14 19:01:07+00:00,awake
Still,House,0,False,1526320927,-1.0,25759,8,locked,10,Monday,1142,180,600,25235,2018-05-14 19:02:07+00:00,awake
Still,House,0,False,1526320987,-1.0,2509,0,locked,0,Monday,1143,180,600,25235,2018-05-14 19:03:07+00:00,awake
Still,House,0,False,1526321078,-1.0,4431,0,locked,0,Monday,1144,180,600,25235,2018-05-14 19:04:38+00:00,awake
Still,House,0,False,1526321138,-1.0,18277,0,locked,0,Monday,1145,180,600,25235,2018-05-14 19:05:38+00:00,awake
Still,House,0,False,1526321168,-1.0,32767,0,locked,0,Monday,1146,180,600,25235,2018-05-14 19:06:08+00:00,awake
Still,House,0,False,1526321340,-1.0,19023,0,locked,0,Monday,1149,180,600,25235,2018-05-14 19:09:00+00:00,awake
Still,House,0,False,1526321370,-1.0,18954,0,locked,0,Monday,1149,180,600,25235,2018-05-14 19:09:30+00:00,awake
Still,House,0,False,1526321413,-1.0,18954,0,locked,0,Monday,1150,180,600,25235,2018-05-14 19:10:13+00:00,awake
Still,House,0,False,1526321482,-1.0,26808,0,locked,0,Monday,1151,180,600,25235,2018-05-14 19:11:22+00:00,awake
Still,House,0,False,1526321581,-1.0,32767,0,locked,0,Monday,1153,180,600,25235,2018-05-14 19:13:01+00:00,awake
Still,House,0,False,1526321659,-1.0,16454,0,locked,0,Monday,1154,180,600,25235,2018-05-14 19:14:19+00:00,awake
Still,House,0,False,1526321733,-1.0,25970,0,locked,0,Monday,1155,180,600,25235,2018-05-14 19:15:33+00:00,awake
Still,House,0,False,1526321798,-1.0,30920,0,locked,0,Monday,1156,180,600,25235,2018-05-14 19:16:38+00:00,awake
Still,House,0,False,1526321828,-1.0,30920,0,locked,0,Monday,1157,180,600,25235,2018-05-14 19:17:08+00:00,awake
Still,House,0,False,1526321921,-1.0,9630,0,locked,0,Monday,1158,180,600,25235,2018-05-14 19:18:41+00:00,awake
Still,House,0,False,1526322014,-1.0,30774,0,locked,0,Monday,1160,180,600,25235,2018-05-14 19:20:14+00:00,awake
Still,House,0,False,1526322044,-1.0,30785,0,locked,0,Monday,1160,180,600,25235,2018-05-14 19:20:44+00:00,awake
Still,House,0,False,1526322142,-1.0,17574,0,locked,0,Monday,1162,180,600,25235,2018-05-14 19:22:22+00:00,awake
Still,House,0,False,1526322202,-1.0,14785,0,locked,0,Monday,1163,180,600,25235,2018-05-14 19:23:22+00:00,awake
