activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Still,House,0,False,1526330207,-1.0,23669,1,not locked,0,Monday,1296,675,195,57600,2018-05-14 21:36:47+00:00,asleep
Still,House,0,False,1526330979,-1.0,30671,0,not locked,0,Monday,1309,675,195,57600,2018-05-14 21:49:39+00:00,asleep
Still,House,0,False,1526332332,-1.0,14034,0,not locked,0,Monday,1332,675,195,57600,2018-05-14 22:12:12+00:00,asleep
Still,House,0,False,1526332478,-1.0,14317,0,not locked,0,Monday,1334,675,195,57600,2018-05-14 22:14:38+00:00,asleep
Unknown,House,0,False,1526332748,-1.0,29375,0,not locked,0,Monday,1339,675,195,57600,2018-05-14 22:19:08+00:00,asleep
Still,House,0,False,1526332779,-1.0,15138,0,not locked,0,Monday,1339,675,195,57600,2018-05-14 22:19:39+00:00,asleep
Still,House,0,False,1526332959,-1.0,27535,0,not locked,0,Monday,1342,675,195,57600,2018-05-14 22:22:39+00:00,asleep
Unknown,Other,0,False,1526333505,-1.0,0,0,not locked,0,Monday,1351,675,195,57600,2018-05-14 22:31:45+00:00,asleep
Still,House,0,False,1526333535,-1.0,23286,0,not locked,0,Monday,1352,675,195,57600,2018-05-14 22:32:15+00:00,asleep
Still,House,0,False,1526333565,-1.0,23286,0,not locked,0,Monday,1352,675,195,57600,2018-05-14 22:32:45+00:00,asleep
Still,House,0,False,1526333626,-1.0,32767,0,not locked,0,Monday,1353,675,195,57600,2018-05-14 22:33:46+00:00,asleep
Still,House,0,False,1526333656,-1.0,19444,0,not locked,0,Monday,1354,675,195,57600,2018-05-14 22:34:16+00:00,asleep
Still,University,0,False,1526334062,-1.0,1731,0,locked,0,Monday,1361,675,195,57600,2018-05-14 22:41:02+00:00,asleep
Still,University,0,False,1526334093,-1.0,2330,0,locked,0,Monday,1361,675,195,57600,2018-05-14 22:41:33+00:00,asleep
Still,University,0,False,1526335555,-1.0,4614,0,not locked,0,Monday,1385,675,195,57600,2018-05-14 23:05:55+00:00,asleep
Still,University,0,False,1526335615,-1.0,17690,0,not locked,0,Monday,1386,675,195,57600,2018-05-14 23:06:55+00:00,asleep
Still,University,0,False,1526335959,-1.0,32767,0,not locked,0,Monday,1392,675,195,57600,2018-05-14 23:12:39+00:00,asleep
Still,University,0,False,1526336170,-1.0,4948,0,locked,0,Monday,1396,675,195,57600,2018-05-14 23:16:10+00:00,asleep
Still,University,0,False,1526336395,-1.0,32767,1,not locked,0,Monday,1399,675,195,57600,2018-05-14 23:19:55+00:00,asleep
Still,University,0,False,1526336552,-1.0,32767,1,not locked,0,Monday,1402,675,195,57600,2018-05-14 23:22:32+00:00,asleep
Still,University,0,False,1526336582,-1.0,32767,1,not locked,0,Monday,1403,675,195,57600,2018-05-14 23:23:02+00:00,asleep
Still,University,0,False,1526336796,-1.0,7286,1,locked,0,Monday,1406,675,195,57600,2018-05-14 23:26:36+00:00,asleep
Still,University,0,False,1526337360,-1.0,4257,1,locked,0,Monday,1416,675,195,57600,2018-05-14 23:36:00+00:00,asleep
Still,University,0,False,1526337477,-1.0,32516,1,not locked,0,Monday,1417,675,195,57600,2018-05-14 23:37:57+00:00,asleep
Still,University,0,False,1526337698,-1.0,5304,1,not locked,0,Monday,1421,675,195,57600,2018-05-14 23:41:38+00:00,asleep
Still,University,0,False,1526337818,-1.0,6272,1,not locked,0,Monday,1423,675,195,57600,2018-05-14 23:43:38+00:00,asleep
In vehicle,University,0,False,1526337939,-1.0,5201,1,not locked,0,Monday,1425,675,195,57600,2018-05-14 23:45:39+00:00,asleep
Unknown,University,0,False,1526337969,-1.0,32767,1,not locked,0,Monday,1426,675,195,57600,2018-05-14 23:46:09+00:00,asleep
In vehicle,University,0,False,1526338059,-1.0,3009,1,not locked,0,Monday,1427,675,195,57600,2018-05-14 23:47:39+00:00,asleep
In vehicle,University,0,False,1526338381,-1.0,32767,0,locked,0,Monday,1433,675,195,57600,2018-05-14 23:53:01+00:00,asleep
Unknown,Other,0,False,1526338620,-1.0,32767,0,locked,0,Monday,1437,675,195,57600,2018-05-14 23:57:00+00:00,asleep
Unknown,Other,0,False,1526338709,-1.0,32767,0,locked,0,Monday,1438,675,195,57600,2018-05-14 23:58:29+00:00,asleep
Still,Other,0,False,1526339148,-1.0,32767,0,locked,0,Monday,5,675,195,57600,2018-05-15 00:05:48+00:00,asleep
Exercise,Other,0,False,1526339235,-1.0,32767,0,locked,0,Monday,7,675,195,57600,2018-05-15 00:07:15+00:00,asleep
Exercise,Other,0,False,1526339325,-1.0,25653,0,locked,0,Monday,8,675,195,57600,2018-05-15 00:08:45+00:00,asleep
Exercise,Other,0,False,1526339399,-1.0,25653,0,locked,0,Monday,9,675,195,57600,2018-05-15 00:09:59+00:00,asleep
In vehicle,University,0,False,1526339932,-1.0,26239,1,not locked,0,Monday,18,675,195,57600,2018-05-15 00:18:52+00:00,asleep
