NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,val_accuracy,val_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM_BI,128,5,32,60,30,2023-10-13 18:40:20.924599,2023-10-13 18:40:24.706847,3.782248020172119,0.06303746700286865,0.5780880451202393,0.7249631881713867,0.5852391719818115,0.7094549536705017,awake,0.7094549499443826,0.7099014336917563,0.9965408805031446,0.8291470434327578,0.01646411135348491,0.6211327928832772,0.0,20.0,1295.0,11.0,3169.0
LSTM_BI,128,5,32,60,30,2023-10-13 18:40:20.924599,2023-10-13 18:40:24.706847,3.782248020172119,0.06303746700286865,0.5780880451202393,0.7249631881713867,0.5852391719818115,0.7094549536705017,asleep,0.7094549499443826,0.6451612903225806,0.015209125475285171,0.029717682020802376,0.01646411135348491,0.6211325537460841,0.0,3169.0,11.0,1295.0,20.0
LSTM_BI,128,5,32,60,30,2023-10-13 18:40:20.924599,2023-10-13 18:40:24.706847,3.782248020172119,0.06303746700286865,0.5780880451202393,0.7249631881713867,0.5852391719818115,0.7094549536705017,avg,0.7094549499443826,0.6775313620071685,0.5058750029892148,0.4294323627267801,0.01646411135348491,0.6211326733146807,,,,,
LSTM_BI,128,15,32,60,30,2023-10-13 18:40:24.765727,2023-10-13 18:40:28.116930,3.351202964782715,0.055853382746378584,0.5576327443122864,0.7352724671363831,0.5641169548034668,0.7292547225952148,awake,0.7292547274749722,0.7285215366705472,0.9839622641509433,0.837190635451505,0.1294588971065057,0.6641065834469235,0.0,149.0,1166.0,51.0,3129.0
LSTM_BI,128,15,32,60,30,2023-10-13 18:40:24.765727,2023-10-13 18:40:28.116930,3.351202964782715,0.055853382746378584,0.5576327443122864,0.7352724671363831,0.5641169548034668,0.7292547225952148,asleep,0.7292547274749722,0.745,0.11330798479087452,0.19669966996699667,0.1294588971065057,0.664106463878327,0.0,3129.0,51.0,1166.0,149.0
LSTM_BI,128,15,32,60,30,2023-10-13 18:40:24.765727,2023-10-13 18:40:28.116930,3.351202964782715,0.055853382746378584,0.5576327443122864,0.7352724671363831,0.5641169548034668,0.7292547225952148,avg,0.7292547274749722,0.7367607683352736,0.5486351244709089,0.5169451527092508,0.1294588971065057,0.6641065236626252,,,,,
LSTM_BI,128,30,32,60,30,2023-10-13 18:40:28.172950,2023-10-13 18:40:31.514896,3.3419458866119385,0.05569909811019898,0.5299196243286133,0.7610456347465515,0.5502025485038757,0.739710807800293,awake,0.7397107897664071,0.7574282786885246,0.929874213836478,0.8348390739695088,0.25010052558483065,0.6835327737523017,0.0,368.0,947.0,223.0,2957.0
LSTM_BI,128,30,32,60,30,2023-10-13 18:40:28.172950,2023-10-13 18:40:31.514896,3.3419458866119385,0.05569909811019898,0.5299196243286133,0.7610456347465515,0.5502025485038757,0.739710807800293,asleep,0.7397107897664071,0.622673434856176,0.2798479087452472,0.38614900314795386,0.25010052558483065,0.6835324150465122,0.0,2957.0,223.0,947.0,368.0
LSTM_BI,128,30,32,60,30,2023-10-13 18:40:28.172950,2023-10-13 18:40:31.514896,3.3419458866119385,0.05569909811019898,0.5299196243286133,0.7610456347465515,0.5502025485038757,0.739710807800293,avg,0.7397107897664071,0.6900508567723502,0.6048610612908626,0.6104940385587314,0.25010052558483065,0.683532594399407,,,,,
LSTM_BI,128,50,32,60,30,2023-10-13 18:40:31.571783,2023-10-13 18:40:34.883787,3.3120038509368896,0.055200064182281496,0.5072309970855713,0.777172327041626,0.5436221361160278,0.7506117820739746,awake,0.7506117908787542,0.7737303908534964,0.9150943396226415,0.8384958939634058,0.30782840545149726,0.7115557070091111,0.0,464.0,851.0,270.0,2910.0
