NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,val_accuracy,val_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM_BI,128,5,32,2,1,2023-10-14 11:46:55.317934,2023-10-14 11:47:06.851184,11.533249855041504,0.1922208309173584,0.4716501533985138,0.7880868911743164,0.6717195510864258,0.7254348397254944,awake,0.7254348116187003,0.7259889850267628,0.9825861779753418,0.8350194448527938,0.11611670866859958,0.6996339601123818,0.0,4128.0,35374.0,1661.0,93723.0
LSTM_BI,128,5,32,2,1,2023-10-14 11:46:55.317934,2023-10-14 11:47:06.851184,11.533249855041504,0.1922208309173584,0.4716501533985138,0.7880868911743164,0.6717195510864258,0.7254348397254944,asleep,0.7254348116187003,0.7130765244429089,0.10450103792213053,0.18228787176260186,0.11611670866859958,0.6996339577237571,0.0,93723.0,1661.0,35374.0,4128.0
LSTM_BI,128,5,32,2,1,2023-10-14 11:46:55.317934,2023-10-14 11:47:06.851184,11.533249855041504,0.1922208309173584,0.4716501533985138,0.7880868911743164,0.6717195510864258,0.7254348397254944,avg,0.7254348116187003,0.7195327547348358,0.5435436079487361,0.5086536583076978,0.11611670866859958,0.6996339589180695,,,,,
LSTM_BI,128,15,32,2,1,2023-10-14 11:47:07.712830,2023-10-14 11:47:17.474416,9.76158595085144,0.16269309918085734,0.4307882487773895,0.8133071660995483,0.7194651365280151,0.7321812510490417,awake,0.732181249351304,0.7379057835446392,0.9634844418351086,0.8357409504062712,0.17498358449448548,0.7153139524204162,0.0,6860.0,32642.0,3483.0,91901.0
LSTM_BI,128,15,32,2,1,2023-10-14 11:47:07.712830,2023-10-14 11:47:17.474416,9.76158595085144,0.16269309918085734,0.4307882487773895,0.8133071660995483,0.7194651365280151,0.7321812510490417,asleep,0.732181249351304,0.6632505075896742,0.17366209305857933,0.27525328518407066,0.17498358449448548,0.7153139513588053,0.0,91901.0,3483.0,32642.0,6860.0
LSTM_BI,128,15,32,2,1,2023-10-14 11:47:07.712830,2023-10-14 11:47:17.474416,9.76158595085144,0.16269309918085734,0.4307882487773895,0.8133071660995483,0.7194651365280151,0.7321812510490417,avg,0.732181249351304,0.7005781455671567,0.568573267446844,0.5554971177951709,0.17498358449448548,0.7153139518896108,,,,,
LSTM_BI,128,30,32,2,1,2023-10-14 11:47:18.344590,2023-10-14 11:47:28.648432,10.303842067718506,0.17173070112864178,0.40896210074424744,0.8269922733306885,0.8329086899757385,0.732218325138092,awake,0.7322183176904942,0.7364469127527489,0.9675941457686824,0.8363433708190987,0.16897268245467045,0.7028923865173919,0.0,6473.0,33029.0,3091.0,92293.0
LSTM_BI,128,30,32,2,1,2023-10-14 11:47:18.344590,2023-10-14 11:47:28.648432,10.303842067718506,0.17173070112864178,0.40896210074424744,0.8269922733306885,0.8329086899757385,0.732218325138092,asleep,0.7322183176904942,0.6768088665830196,0.16386512075337958,0.2638486935963804,0.16897268245467045,0.702892391294641,0.0,92293.0,3091.0,33029.0,6473.0
LSTM_BI,128,30,32,2,1,2023-10-14 11:47:18.344590,2023-10-14 11:47:28.648432,10.303842067718506,0.17173070112864178,0.40896210074424744,0.8269922733306885,0.8329086899757385,0.732218325138092,avg,0.7322183176904942,0.7066278896678843,0.565729633261031,0.5500960322077395,0.16897268245467045,0.7028923889060165,,,,,
LSTM_BI,128,50,32,2,1,2023-10-14 11:47:29.512445,2023-10-14 11:47:39.223445,9.710999965667725,0.1618499994277954,0.4003653824329376,0.8338176608085632,0.7956843376159668,0.733048677444458,awake,0.7330486484883532,0.7396319315521834,0.9606747462886858,0.8357853644298915,0.18270514912215552,0.7072470192173614,0.0,7245.0,32257.0,3751.0,91633.0
LSTM_BI,128,50,32,2,1,2023-10-14 11:47:29.512445,2023-10-14 11:47:39.223445,9.710999965667725,0.1618499994277954,0.4003653824329376,0.8338176608085632,0.7956843376159668,0.733048677444458,asleep,0.7330486484883532,0.6588759548926882,0.18340843501594856,0.2869420571111727,0.18270514912215552,0.7072470222694929,0.0,91633.0,3751.0,32257.0,7245.0
LSTM_BI,128,50,32,2,1,2023-10-14 11:47:29.512445,2023-10-14 11:47:39.223445,9.710999965667725,0.1618499994277954,0.4003653824329376,0.8338176608085632,0.7956843376159668,0.733048677444458,avg,0.7330486484883532,0.6992539432224358,0.5720415906523172,0.561363710770532,0.18270514912215552,0.7072470207434272,,,,,
LSTM_BI,128,80,32,2,1,2023-10-14 11:47:40.093969,2023-10-14 11:47:50.402506,10.308537006378174,0.1718089501063029,0.41018134355545044,0.8303987979888916,1.0539757013320923,0.7274661660194397,awake,0.7274661566063194,0.743045248381025,0.9394867063658475,0.8297983656272425,0.19064540152891374,0.659606059443468,0.0,8513.0,30989.0,5772.0,89612.0
LSTM_BI,128,80,32,2,1,2023-10-14 11:47:40.093969,2023-10-14 11:47:50.402506,10.308537006378174,0.1718089501063029,0.41018134355545044,0.8303987979888916,1.0539757013320923,0.7274661660194397,asleep,0.7274661566063194,0.5959397969898494,0.21550807554047896,0.3165448900291892,0.19064540152891374,0.6596060343629101,0.0,89612.0,5772.0,30989.0,8513.0
LSTM_BI,128,80,32,2,1,2023-10-14 11:47:40.093969,2023-10-14 11:47:50.402506,10.308537006378174,0.1718089501063029,0.41018134355545044,0.8303987979888916,1.0539757013320923,0.7274661660194397,avg,0.7274661566063194,0.6694925226854372,0.5774973909531632,0.5731716278282158,0.19064540152891374,0.659606046903189,,,,,
