client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
10,182,2.0953893661499023,awake,0.38926368542791057,0.8189443735897184,0.17502752005032238,0.28841419699233833,0.052431894821835856,0.5407957892381324,[[ 35812 3691][ 78690 16695]],35812,3691,78690,16695
10,182,2.0953893661499023,asleep,0.38926368542791057,0.31276309584112066,0.9065640584259423,0.46507580922697317,0.052431894821835856,0.5407957892381323,[[ 16695 78690][ 3691 35812]],16695,78690,3691,35812
10,182,2.0953893661499023,avg,0.38926368542791057,0.5658537347154196,0.5407957892381323,0.37674500310965575,0.052431894821835856,0.5407957892381323,,,,,
