client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
6,26,0.7485076785087585,awake,0.6501838562362849,0.7976974293725989,0.6770037217591864,0.7324116185961052,0.2370580492916745,0.6312138068077506,[[ 23126 16377][ 30809 64576]],23126,16377,30809,64576
6,26,0.7485076785087585,asleep,0.6501838562362849,0.4287753777695374,0.5854238918563147,0.4950020334339348,0.2370580492916745,0.6312138068077506,[[ 64576 30809][ 16377 23126]],64576,30809,16377,23126
6,26,0.7485076785087585,avg,0.6501838562362849,0.6132364035710681,0.6312138068077506,0.61370682601502,0.2370580492916745,0.6312138068077506,,,,,
