client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
0,112,0.8197669386863708,awake,0.7307469900954866,0.7726710368387038,0.8773706557634848,0.8216991089619283,0.28100909735190094,0.6270381112146539,[[ 14881 24622][ 11697 83688]],14881,24622,11697,83688
0,112,0.8197669386863708,asleep,0.7307469900954866,0.559899164722703,0.37670556666582283,0.45038664669118206,0.28100909735190094,0.6270381112146538,[[ 83688 11697][ 24622 14881]],83688,11697,24622,14881
0,112,0.8197669386863708,avg,0.7307469900954866,0.6662851007807034,0.6270381112146538,0.6360428778265552,0.28100909735190094,0.6270381112146539,,,,,
