client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
17,181,0.7519324421882629,awake,0.712176027519127,0.7448125416598136,0.9020286208523353,0.81591624625422,0.18312169830270064,0.5778907501902362,[[ 10024 29479][ 9345 86040]],10024,29479,9345,86040
17,181,0.7519324421882629,asleep,0.712176027519127,0.5175280086736538,0.2537528795281371,0.34053539883136297,0.18312169830270064,0.5778907501902362,[[ 86040 9345][ 29479 10024]],86040,9345,29479,10024
17,181,0.7519324421882629,avg,0.712176027519127,0.6311702751667336,0.5778907501902362,0.5782258225427914,0.18312169830270064,0.5778907501902362,,,,,
