client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
3,75,0.9449509978294373,awake,0.6514145068501275,0.8060882222644137,0.6676626303926194,0.7303744480761512,0.24953464065184494,0.6399219918537787,[[ 24183 15320][ 31700 63685]],24183,15320,31700,63685
3,75,0.9449509978294373,asleep,0.6514145068501275,0.43274341033945923,0.6121813533149381,0.5070555427421215,0.24953464065184494,0.6399219918537787,[[ 63685 31700][ 15320 24183]],63685,31700,15320,24183
3,75,0.9449509978294373,avg,0.6514145068501275,0.6194158163019364,0.6399219918537787,0.6187149954091363,0.24953464065184494,0.6399219918537787,,,,,
