client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
15,113,1.1929932832717896,awake,0.4204080422276259,0.6670875012139458,0.36006709650364316,0.46769251719207466,-0.05569378268702252,0.4630879998124625,[[ 22363 17140][ 61040 34345]],22363,17140,61040,34345
15,113,1.1929932832717896,asleep,0.4204080422276259,0.2681318417802717,0.5661089031212819,0.3639041218492181,-0.05569378268702252,0.4630879998124625,[[ 34345 61040][ 17140 22363]],34345,61040,17140,22363
15,113,1.1929932832717896,avg,0.4204080422276259,0.46760967149710875,0.4630879998124625,0.4157983195206464,-0.05569378268702252,0.4630879998124625,,,,,
