client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
15,166,1.1910163164138794,awake,0.4504774331297076,0.679517706064137,0.4218587828274886,0.5205495401094423,-0.04617607399780588,0.47071978707989626,[[ 20525 18978][ 55146 40239]],20525,18978,55146,40239
15,166,1.1910163164138794,asleep,0.4504774331297076,0.27123997304119146,0.5195807913323038,0.3564172469480959,-0.04617607399780588,0.4707197870798962,[[ 40239 55146][ 18978 20525]],40239,55146,18978,20525
15,166,1.1910163164138794,avg,0.4504774331297076,0.47537883955266425,0.47071978707989626,0.4384833935287691,-0.04617607399780588,0.47071978707989626,,,,,
