client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
0,2,0.48436427116394043,awake,0.8204806950951901,0.827551082927427,0.9845288967044181,0.8992406116716944,0.13028690224913553,0.544343222969277,[[ 2618 22517][ 1698 108055]],2618,22517,1698,108055
0,2,0.48436427116394043,asleep,0.8204806950951901,0.6065801668211307,0.10415754923413567,0.1777868323656243,0.13028690224913553,0.544343222969277,[[ 108055 1698][ 22517 2618]],108055,1698,22517,2618
0,2,0.48436427116394043,avg,0.8204806950951901,0.7170656248742788,0.5443432229692768,0.5385137220186593,0.13028690224913553,0.544343222969277,,,,,
