client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
7,115,0.6638532280921936,awake,0.8174782041397307,0.8420452080001929,0.9547802793545507,0.8948761742100768,0.22297256065001647,0.5863616932877785,[[ 5478 19657][ 4963 104790]],5478,19657,4963,104790
7,115,0.6638532280921936,asleep,0.8174782041397307,0.5246623886600901,0.21794310722100657,0.3079604227569148,0.22297256065001647,0.5863616932877785,[[ 104790 4963][ 19657 5478]],104790,4963,19657,5478
7,115,0.6638532280921936,avg,0.8174782041397307,0.6833537983301414,0.5863616932877787,0.6014182984834958,0.22297256065001647,0.5863616932877785,,,,,
