client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
7,86,0.6679909825325012,awake,0.8166256449795386,0.8343953052972735,0.9664428307198892,0.8955778364116096,0.17568603571494734,0.5644428197760973,[[ 4083 21052][ 3683 106070]],4083,21052,3683,106070
7,86,0.6679909825325012,asleep,0.8166256449795386,0.5257532835436518,0.16244280883230555,0.24819914288319503,0.17568603571494734,0.5644428197760974,[[ 106070 3683][ 21052 4083]],106070,3683,21052,4083
7,86,0.6679909825325012,avg,0.8166256449795386,0.6800742944204626,0.5644428197760973,0.5718884896474024,0.17568603571494734,0.5644428197760973,,,,,
