client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
2,100,0.601280152797699,awake,0.831282248976929,0.8762596773495956,0.9229816041474949,0.8990140132589036,0.38874537476390936,0.6769274442062321,[[ 10830 14305][ 8453 101300]],10830,14305,8453,101300
2,100,0.601280152797699,asleep,0.831282248976929,0.561634600425245,0.4308732842649692,0.48764014588680266,0.38874537476390936,0.6769274442062321,[[ 101300 8453][ 14305 10830]],101300,8453,14305,10830
2,100,0.601280152797699,avg,0.831282248976929,0.7189471388874203,0.6769274442062321,0.6933270795728531,0.38874537476390936,0.6769274442062321,,,,,
