NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,val_accuracy,val_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM_BI,128,5,32,2,1,2023-10-15 04:08:17.272706,2023-10-15 04:08:28.789706,11.516999959945679,0.19194999933242798,0.3906981945037842,0.8329758048057556,0.43592116236686707,0.8169342875480652,awake,0.8169343000756194,0.8169123235815735,0.9988792812821751,0.8987780232753567,0.03416930347092084,0.7742991407188782,0.0,565.0,24570.0,123.0,109628.0
LSTM_BI,128,5,32,2,1,2023-10-15 04:08:17.272706,2023-10-15 04:08:28.789706,11.516999959945679,0.19194999933242798,0.3906981945037842,0.8329758048057556,0.43592116236686707,0.8169342875480652,asleep,0.8169343000756194,0.8212209302325582,0.022478615476427294,0.0437594392595748,0.03416930347092084,0.7742991452501764,0.0,109628.0,123.0,24570.0,565.0
LSTM_BI,128,5,32,2,1,2023-10-15 04:08:17.272706,2023-10-15 04:08:28.789706,11.516999959945679,0.19194999933242798,0.3906981945037842,0.8329758048057556,0.43592116236686707,0.8169342875480652,avg,0.8169343000756194,0.8190666269070659,0.5106789483793012,0.47126873126746577,0.03416930347092084,0.7742991429845273,,,,,
LSTM_BI,128,15,32,2,1,2023-10-15 04:08:29.637901,2023-10-15 04:08:39.951438,10.313536882400513,0.17189228137334187,0.364302396774292,0.8458632826805115,0.42416200041770935,0.8171567320823669,awake,0.8171567101107602,0.8266685094751067,0.9809660048655593,0.8972319333963923,0.12081180065243058,0.7903591009728322,0.0,2561.0,22574.0,2089.0,107662.0
LSTM_BI,128,15,32,2,1,2023-10-15 04:08:29.637901,2023-10-15 04:08:39.951438,10.313536882400513,0.17189228137334187,0.364302396774292,0.8458632826805115,0.42416200041770935,0.8171567320823669,asleep,0.8171567101107602,0.550752688172043,0.1018897951064253,0.17196575457445024,0.12081180065243058,0.7903590986165572,0.0,107662.0,2089.0,22574.0,2561.0
LSTM_BI,128,15,32,2,1,2023-10-15 04:08:29.637901,2023-10-15 04:08:39.951438,10.313536882400513,0.17189228137334187,0.364302396774292,0.8458632826805115,0.42416200041770935,0.8171567320823669,avg,0.8171567101107602,0.6887105988235749,0.5414278999859923,0.5345988439854212,0.12081180065243058,0.7903590997946948,,,,,
LSTM_BI,128,30,32,2,1,2023-10-15 04:08:40.805640,2023-10-15 04:08:50.669308,9.863667964935303,0.16439446608225505,0.34853604435920715,0.8553662896156311,0.49415820837020874,0.816926896572113,awake,0.8169268864077814,0.8258314626540916,0.9821322812548405,0.8972256673630937,0.1140204448320774,0.7954799438337259,0.0,2402.0,22733.0,1961.0,107790.0
LSTM_BI,128,30,32,2,1,2023-10-15 04:08:40.805640,2023-10-15 04:08:50.669308,9.863667964935303,0.16439446608225505,0.34853604435920715,0.8553662896156311,0.49415820837020874,0.816926896572113,asleep,0.8169268864077814,0.5505386202154481,0.09556395464491745,0.1628584988812801,0.1140204448320774,0.7954799195459679,0.0,107790.0,1961.0,22733.0,2402.0
LSTM_BI,128,30,32,2,1,2023-10-15 04:08:40.805640,2023-10-15 04:08:50.669308,9.863667964935303,0.16439446608225505,0.34853604435920715,0.8553662896156311,0.49415820837020874,0.816926896572113,avg,0.8169268864077814,0.6881850414347699,0.538848117949879,0.5300420831221869,0.1140204448320774,0.7954799316898469,,,,,
LSTM_BI,128,50,32,2,1,2023-10-15 04:08:51.514894,2023-10-15 04:09:01.365516,9.850621938705444,0.1641770323117574,0.3321205675601959,0.8620149493217468,0.5538589358329773,0.8138131499290466,awake,0.8138131459158104,0.8260109239101127,0.9769569297774052,0.8951652626921247,0.11324167460841095,0.7752487291625468,0.0,2550.0,22585.0,2529.0,107222.0
LSTM_BI,128,50,32,2,1,2023-10-15 04:08:51.514894,2023-10-15 04:09:01.365516,9.850621938705444,0.1641770323117574,0.3321205675601959,0.8620149493217468,0.5538589358329773,0.8138131499290466,asleep,0.8138131459158104,0.5020673360897815,0.10145215834493734,0.16879592242007016,0.11324167460841095,0.7752487637816646,0.0,107222.0,2529.0,22585.0,2550.0
LSTM_BI,128,50,32,2,1,2023-10-15 04:08:51.514894,2023-10-15 04:09:01.365516,9.850621938705444,0.1641770323117574,0.3321205675601959,0.8620149493217468,0.5538589358329773,0.8138131499290466,avg,0.8138131459158104,0.6640391299999471,0.5392045440611712,0.5319805925560974,0.11324167460841095,0.7752487464721057,,,,,
LSTM_BI,128,80,32,2,1,2023-10-15 04:09:02.237270,2023-10-15 04:09:12.143470,9.906199932098389,0.1651033322016398,0.3142120838165283,0.8685237169265747,0.5258210897445679,0.8202481865882874,awake,0.8202482095992171,0.8382184249040782,0.9654126158303796,0.8973305780924474,0.20388130860285936,0.7812625614721116,0.0,4685.0,20450.0,3796.0,105955.0
LSTM_BI,128,80,32,2,1,2023-10-15 04:09:02.237270,2023-10-15 04:09:12.143470,9.906199932098389,0.1651033322016398,0.3142120838165283,0.8685237169265747,0.5258210897445679,0.8202481865882874,asleep,0.8202482095992171,0.5524112722556302,0.1863934752337378,0.27873631603998095,0.20388130860285936,0.7812622192684765,0.0,105955.0,3796.0,20450.0,4685.0
LSTM_BI,128,80,32,2,1,2023-10-15 04:09:02.237270,2023-10-15 04:09:12.143470,9.906199932098389,0.1651033322016398,0.3142120838165283,0.8685237169265747,0.5258210897445679,0.8202481865882874,avg,0.8202482095992171,0.6953148485798542,0.5759030455320587,0.5880334470662142,0.20388130860285936,0.781262390370294,,,,,
LSTM_BI,128,100,32,2,1,2023-10-15 04:09:13.011792,2023-10-15 04:09:22.773817,9.762025117874146,0.16270041863123577,0.31538739800453186,0.8688967823982239,0.5595002174377441,0.8203594088554382,awake,0.8203594146167875,0.8459267049591457,0.9527475831655292,0.8961651689871057,0.24768547116793138,0.7894956838633062,0.0,6090.0,19045.0,5186.0,104565.0
