client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
9,20,0.5389317274093628,awake,0.8380137595634897,0.869287580765773,0.9426621595765036,0.9044892249857934,0.3773368171807775,0.6618622116760576,[[ 9578 15557][ 6293 103460]],9578,15557,6293,103460
9,20,0.5389317274093628,asleep,0.8380137595634897,0.6034906433117005,0.3810622637756117,0.4671511486123982,0.3773368171807775,0.6618622116760576,[[ 103460 6293][ 15557 9578]],103460,6293,15557,9578
9,20,0.5389317274093628,avg,0.8380137595634897,0.7363891120387367,0.6618622116760576,0.6858201867990958,0.3773368171807775,0.6618622116760576,,,,,
