client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
7,51,0.5479950308799744,awake,0.8295474764248858,0.8525007110063787,0.9559009776498136,0.9012447491173362,0.29367982060006825,0.6168603754372004,[[ 6983 18152][ 4840 104913]],6983,18152,4840,104913
7,51,0.5479950308799744,asleep,0.8295474764248858,0.5906284360991289,0.27781977322458723,0.3778884138752097,0.29367982060006825,0.6168603754372005,[[ 104913 4840][ 18152 6983]],104913,4840,18152,6983
7,51,0.5479950308799744,avg,0.8295474764248858,0.7215645735527538,0.6168603754372004,0.639566581496273,0.29367982060006825,0.6168603754372004,,,,,
