client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
13,40,0.44994691014289856,awake,0.8256257042880019,0.8897808635278802,0.8967773090484998,0.8932653866923206,0.4172391054967892,0.7058583183396467,[[ 12943 12192][ 11329 98424]],12943,12192,11329,98424
13,40,0.44994691014289856,asleep,0.8256257042880019,0.5332481872116018,0.5149393276307938,0.5239338555265448,0.4172391054967892,0.7058583183396467,[[ 98424 11329][ 12192 12943]],98424,11329,12192,12943
13,40,0.44994691014289856,avg,0.8256257042880019,0.711514525369741,0.7058583183396467,0.7085996211094328,0.4172391054967892,0.7058583183396467,,,,,
