client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
2,114,0.6094059348106384,awake,0.8364717395172291,0.8919750051402161,0.9091232130329011,0.9004674752725434,0.4426850010674711,0.714179668979152,[[ 13051 12084][ 9974 99779]],13051,12084,9974,99779
2,114,0.6094059348106384,asleep,0.8364717395172291,0.5668186753528773,0.5192361249254028,0.5419850498338871,0.4426850010674711,0.714179668979152,[[ 99779 9974][ 12084 13051]],99779,9974,12084,13051
2,114,0.6094059348106384,avg,0.8364717395172291,0.7293968402465467,0.714179668979152,0.7212262625532153,0.4426850010674711,0.714179668979152,,,,,
