client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
6,52,0.6328344345092773,awake,0.7047105746990096,0.8621775613798819,0.7583027343216131,0.8069108942569189,0.19038992909507346,0.6145004819409936,[[ 11831 13304][ 26527 83226]],11831,13304,26527,83226
6,52,0.6328344345092773,asleep,0.7047105746990096,0.3084363105479952,0.470698229560374,0.37267100310270423,0.19038992909507346,0.6145004819409935,[[ 83226 26527][ 13304 11831]],83226,26527,13304,11831
6,52,0.6328344345092773,avg,0.7047105746990096,0.5853069359639386,0.6145004819409936,0.5897909486798115,0.19038992909507346,0.6145004819409936,,,,,
