client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
15,2,0.6678135991096497,awake,0.5561502876460471,0.7897580073654983,0.6193908139185261,0.6942756472450594,-0.07380237877402296,0.4496993854752766,[[ 7038 18097][ 41773 67980]],7038,18097,41773,67980
15,2,0.6678135991096497,asleep,0.5561502876460471,0.1441888098994079,0.2800079570320271,0.19035512400941226,-0.07380237877402296,0.4496993854752766,[[ 67980 41773][ 18097 7038]],67980,41773,18097,7038
15,2,0.6678135991096497,avg,0.5561502876460471,0.46697340863245307,0.4496993854752766,0.4423153856272358,-0.07380237877402296,0.4496993854752766,,,,,
