client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
15,68,1.1297101974487305,awake,0.4497360773382362,0.7698664681665578,0.4617459203848642,0.5772639252762274,-0.08422085188205508,0.4295202647478329,[[ 9986 15149][ 59075 50678]],9986,15149,59075,50678
15,68,1.1297101974487305,asleep,0.4497360773382362,0.14459680572247724,0.39729460911080167,0.2120259883646864,-0.08422085188205508,0.4295202647478329,[[ 50678 59075][ 15149 9986]],50678,59075,15149,9986
15,68,1.1297101974487305,avg,0.4497360773382362,0.4572316369445175,0.4295202647478329,0.39464495682045686,-0.08422085188205508,0.4295202647478329,,,,,
