client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
-1,0,0.6755602359771729,awake,0.7062674218610996,0.8243848288621647,0.8119686933386787,0.8181296562360858,0.0552856184685777,0.5283436066653608,[[ 6151 18984][ 20637 89116]],6151.0,18984.0,20637.0,89116.0
-1,0,0.6755602359771729,asleep,0.7062674218610996,0.2295975509594564,0.2446787348319077,0.2368983648234818,0.0552573561329344,0.5283282697694203,[[ 89117 20636][ 18985 6150]],89117.0,20636.0,18985.0,6150.0
-1,0,0.6755602359771729,avg,0.7062674218610996,0.5269911899108106,0.5283237140852932,0.5275140105297838,0.055271487300756,0.5283359382173906,,,,,
-1,1,0.4333897233009338,awake,0.8136602218136528,0.8136602218136528,1.0,0.8972576142183853,0.0,0.5,[[ 0 25135][ 0 109753]],0.0,25135.0,0.0,109753.0
-1,1,0.4333897233009338,asleep,0.8136602218136528,0.0,0.0,0.0,0.0,0.5,[[ 109753 0][ 25135 0]],109753.0,0.0,25135.0,0.0
-1,1,0.4333897233009338,avg,0.8136602218136528,0.4068301109068264,0.5,0.4486288071091927,0.0,0.5,,,,,
-1,2,0.4348613321781158,awake,0.8164996144949884,0.8184822438870862,0.9951800861935436,0.8982236842105263,0.0494247207393316,0.5157320761184547,[[ 912 24223][ 529 109224]],912.0,24223.0,529.0,109224.0
-1,2,0.4348613321781158,asleep,0.8164996144949884,0.6328938237335184,0.0362840660433658,0.0686333534015653,0.0494247207393316,0.5157320761184547,[[ 109224 529][ 24223 912]],109224.0,529.0,24223.0,912.0
-1,2,0.4348613321781158,avg,0.8164996144949884,0.7256880338103023,0.5157320761184547,0.4834285188060458,0.0494247207393316,0.5157320761184547,,,,,
-1,3,0.4426647126674652,awake,0.8207105153905462,0.8244371478619581,0.9905970679616958,0.8999114333722364,0.1051702843519609,0.5347455202549677,[[ 1983 23152][ 1032 108721]],1983.0,23152.0,1032.0,108721.0
-1,3,0.4426647126674652,asleep,0.8207105153905462,0.6577114427860696,0.0788939725482395,0.1408880994671403,0.1051702843519609,0.5347455202549677,[[ 108721 1032][ 23152 1983]],108721.0,1032.0,23152.0,1983.0
-1,3,0.4426647126674652,avg,0.8207105153905462,0.7410742953240139,0.5347455202549677,0.5203997664196884,0.1051702843519609,0.5347455202549677,,,,,
-1,4,0.4486691057682037,awake,0.8235054267243935,0.8284794838867486,0.9875356482282944,0.9010420780041316,0.1400581569957815,0.5473982199764906,[[ 2696 22439][ 1368 108385]],2696.0,22439.0,1368.0,108385.0
-1,4,0.4486691057682037,asleep,0.8235054267243935,0.6633858267716536,0.1072607917246867,0.1846638583513134,0.1400581569957815,0.5473982199764905,[[ 108385 1368][ 22439 2696]],108385.0,1368.0,22439.0,2696.0
-1,4,0.4486691057682037,avg,0.8235054267243935,0.7459326553292012,0.5473982199764905,0.5428529681777226,0.1400581569957815,0.5473982199764906,,,,,
-1,5,0.4513006806373596,awake,0.8193760749658976,0.8260291860438478,0.985585815421902,0.898781085639743,0.1173584961290471,0.5396001486100956,[[ 2353 22782][ 1582 108171]],2353.0,22782.0,1582.0,108171.0
-1,5,0.4513006806373596,asleep,0.8193760749658976,0.5979669631512071,0.0936144817982892,0.1618851049191606,0.1173584961290471,0.5396001486100956,[[ 108171 1582][ 22782 2353]],108171.0,1582.0,22782.0,2353.0
-1,5,0.4513006806373596,avg,0.8193760749658976,0.7119980745975274,0.5396001486100956,0.5303330952794518,0.1173584961290471,0.5396001486100956,,,,,
-1,6,0.454300582408905,awake,0.8176635430875986,0.8233471545085889,0.9878545461171904,0.8981299314515293,0.0939796488598384,0.5311860755252751,[[ 1873 23262][ 1333 108420]],1873.0,23262.0,1333.0,108420.0
-1,6,0.454300582408905,asleep,0.8176635430875986,0.5842170929507174,0.0745176049333598,0.1321759994354469,0.0939796488598384,0.5311860755252751,[[ 108420 1333][ 23262 1873]],108420.0,1333.0,23262.0,1873.0
-1,6,0.454300582408905,avg,0.8176635430875986,0.7037821237296531,0.5311860755252751,0.5151529654434881,0.0939796488598384,0.5311860755252751,,,,,
-1,7,0.4548410177230835,awake,0.8196355494929126,0.828422477162981,0.981640592967846,0.898546735889577,0.1363115341545843,0.5469372648547207,[[ 2821 22314][ 2015 107738]],2821.0,22314.0,2015.0,107738.0
-1,7,0.4548410177230835,asleep,0.8196355494929126,0.5833333333333334,0.1122339367415953,0.1882486403523406,0.1363115341545843,0.5469372648547207,[[ 107738 2015][ 22314 2821]],107738.0,2015.0,22314.0,2821.0
-1,7,0.4548410177230835,avg,0.8196355494929126,0.7058779052481572,0.5469372648547207,0.5433976881209588,0.1363115341545843,0.5469372648547207,,,,,
-1,8,0.458963930606842,awake,0.8211627424233439,0.8304595483243543,0.9803467786757536,0.8991997994275327,0.1528688042054928,0.5532129755722115,[[ 3169 21966][ 2157 107596]],3169.0,21966.0,2157.0,107596.0
-1,8,0.458963930606842,asleep,0.8211627424233439,0.5950056327450244,0.1260791724686691,0.2080693345589442,0.1528688042054928,0.5532129755722114,[[ 107596 2157][ 21966 3169]],107596.0,2157.0,21966.0,3169.0
-1,8,0.458963930606842,avg,0.8211627424233439,0.7127325905346893,0.5532129755722115,0.5536345669932384,0.1528688042054928,0.5532129755722115,,,,,
