client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
9,145,0.5776956677436829,awake,0.844834232845027,0.878024905731042,0.9398649695224732,0.9078931155274693,0.419474035887053,0.6848718123920303,[[ 10805 14330][ 6600 103153]],10805,14330,6600,103153
9,145,0.5776956677436829,asleep,0.844834232845027,0.6207986210858949,0.4298786552615874,0.5079924776680771,0.419474035887053,0.6848718123920303,[[ 103153 6600][ 14330 10805]],103153,6600,14330,10805
9,145,0.5776956677436829,avg,0.844834232845027,0.7494117634084685,0.6848718123920303,0.7079427965977731,0.419474035887053,0.6848718123920303,,,,,
