client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
13,68,0.5321862101554871,awake,0.8138010794140323,0.8955776367324428,0.8729419696955892,0.8841149438015613,0.41101547756030166,0.7142509729122466,[[ 13964 11171][ 13945 95808]],13964,11171,13945,95808
13,68,0.5321862101554871,asleep,0.8138010794140323,0.5003403919882475,0.555559976128904,0.5265062966593772,0.41101547756030166,0.7142509729122465,[[ 95808 13945][ 11171 13964]],95808,13945,11171,13964
13,68,0.5321862101554871,avg,0.8138010794140323,0.6979590143603451,0.7142509729122466,0.7053106202304693,0.41101547756030166,0.7142509729122466,,,,,
